,kunnr,dispute_amount,value_label,avg_invalid_dispute_amount,b_value
0,999999999,74.38,HIGH,6875.0959055118055,0.010818758170394264
1,2002213887,151.2,HIGH,39981.421175166295,0.005
2,2002213887,50.4,HIGH,39981.421175166295,0.005
3,2002213888,1854.88,HIGH,7065.254314159293,0.26253548952692096
4,2002213887,6499.86,HIGH,39981.421175166295,0.16257200992238027
5,2002213918,174.46,HIGH,5659.080187050367,0.030828331501507183
6,2002213918,66.75,HIGH,5659.080187050367,0.01179520307076467
7,2002213918,248.06,HIGH,5659.080187050367,0.04383397863271737
8,2002213918,212.87,HIGH,5659.080187050367,0.0376156535981075
9,2002213918,66.11,HIGH,5659.080187050367,0.011682110487015018
10,2002213918,50.19,HIGH,5659.080187050367,0.00886893246624238
11,2002213918,443.12,HIGH,5659.080187050367,0.07830247767366653
12,2002213918,78.72,HIGH,5659.080187050367,0.013910387801207414
13,2002213963,1217.16,HIGH,13217.613931345559,0.0920862121047057
14,999999999,1993.43,HIGH,6875.0959055118055,0.28994940978232103
15,2002213918,565.24,HIGH,5659.080187050367,0.09988195631039734
16,2002213918,158.73,HIGH,5659.080187050367,0.028048727841535222
17,2002213918,56.12,HIGH,5659.080187050367,0.009916805937547764
18,2002213918,113.12,HIGH,5659.080187050367,0.019989114177751306
19,2002213918,52.29,HIGH,5659.080187050367,0.00924001750667093
20,2002213918,129.49,HIGH,5659.080187050367,0.022881810421472918
21,2002213918,72.0,HIGH,5659.080187050367,0.01272291567183605
22,2002213918,51.23,HIGH,5659.080187050367,0.009052707914835567
23,2002213918,558.78,HIGH,5659.080187050367,0.09874042804317426
24,2002213918,122.89,HIGH,5659.080187050367,0.021715543151554613
25,999999999,115.72,HIGH,6875.0959055118055,0.016831765198682767
26,2002213887,8557.5,HIGH,39981.421175166295,0.21403691385826298
27,2002213887,6312.2,HIGH,39981.421175166295,0.1578783298458811
28,2002213918,177.12,HIGH,5659.080187050367,0.03129837255271668
29,999999999,226.01,HIGH,6875.0959055118055,0.032873723233272485
30,2002213887,4213.86,HIGH,39981.421175166295,0.10539545309153141
31,2002213888,2404.0,HIGH,7065.254314159293,0.3402566833556445
32,2002213918,69.15,HIGH,5659.080187050367,0.012219300259825873
33,2002213918,70.27,HIGH,5659.080187050367,0.012417212281387766
34,2002213918,133.67,HIGH,5659.080187050367,0.02362044635908784
35,2002213918,85.53,HIGH,5659.080187050367,0.015113763575168573
36,2002213918,93.03,HIGH,5659.080187050367,0.016439067290984828
37,2002213918,66.92,HIGH,5659.080187050367,0.011825243288323174
38,2002213918,389.2,HIGH,5659.080187050367,0.0687744274927582
39,2002213918,92.99,HIGH,5659.080187050367,0.016431999004500476
40,2002213918,168.88,HIGH,5659.080187050367,0.029842305536939888
41,2002213887,6510.0,HIGH,39981.421175166295,0.16282562772039638
42,2002213918,67.38,HIGH,5659.080187050367,0.011906528582893235
43,2002213918,197.2,HIGH,5659.080187050367,0.034846652367862066
44,2002213918,59.47,HIGH,5659.080187050367,0.010508774930612358
45,2002213918,59.62,HIGH,5659.080187050367,0.010535281004928683
46,2002213918,54.29,HIGH,5659.080187050367,0.009593431830888599
47,2002213946,3264.0,LOW,1350.1767142857145,0.41365708158263315
48,2002213975,147.06,HIGH,4080.344206642068,0.03604107706418805
49,2002213918,674.45,HIGH,5659.080187050367,0.11918014548430311
50,2002213918,101.94,HIGH,5659.080187050367,0.01801352810537454
51,2002213918,718.03,HIGH,5659.080187050367,0.1268810436090061
52,2002213918,97.36,HIGH,5659.080187050367,0.01720420930291608
53,2002213918,107.18,HIGH,5659.080187050367,0.01893947363482483
54,2002213918,209.22,HIGH,5659.080187050367,0.03697067245641025
55,2002213918,332.93,HIGH,5659.080187050367,0.05883111548089411
56,999999999,73.5,HIGH,6875.0959055118055,0.010690759955955613
57,2002213918,215.83,HIGH,5659.080187050367,0.038138706797949645
58,2002213918,80.77,HIGH,5659.080187050367,0.014272637483530522
59,2002213918,92.85,HIGH,5659.080187050367,0.016407260001805236
60,2002213918,70.78,HIGH,5659.080187050367,0.012507332934063272
61,2002213888,7862.74,HIGH,7065.254314159293,1.1128743071912481
62,2002213918,138.12,HIGH,5659.080187050367,0.024406793230472155
63,2002213918,605.23,HIGH,5659.080187050367,0.10694847572312961
64,2002213918,191.67,HIGH,5659.080187050367,0.03386946176140022
65,2002213918,54.54,HIGH,5659.080187050367,0.009637608621415807
66,2002213918,97.0,HIGH,5659.080187050367,0.0171405947245569
67,2002253691,3028.43,LOW,1028.225,0.3395241098522997
68,2002213887,8138.16,HIGH,39981.421175166295,0.20354854231782196
69,2002213918,112.64,HIGH,5659.080187050367,0.019904294739939064
70,2002213918,89.46,HIGH,5659.080187050367,0.01580822272225629
71,2002213918,51.15,HIGH,5659.080187050367,0.00903857134186686
72,2002213918,186.38,HIGH,5659.080187050367,0.032934680873844484
73,2002213918,54.9,HIGH,5659.080187050367,0.009701223199774987
74,2002213918,97.84,HIGH,5659.080187050367,0.01728902874072832
75,2002213963,783.69,HIGH,13217.613931345559,0.05929133685327879
76,2002213918,73.8,HIGH,5659.080187050367,0.01304098856363195
77,2002213918,121.4,HIGH,5659.080187050367,0.02145224948001245
78,2002213918,182.56,HIGH,5659.080187050367,0.032259659514588736
79,2002213918,107.7,HIGH,5659.080187050367,0.019031361359121424
80,2002213918,900.09,HIGH,5659.080187050367,0.1590523495425404
81,2002213918,368.22,HIGH,5659.080187050367,0.06506711123171487
82,2002213918,227.33,HIGH,5659.080187050367,0.04017083916220124
