,create_minus_claim_date,category_history,cal_cust_history,ZZ_CLAIMDATE_SIMP_DT_month,ship_to_history,original_with_avg_dispute,rank_xref_in_kunnr,b_value,rank_kunwe_in_kunnr
0,2.0,0.1632506979074706,0.2611775121735281,10.0,0.4287773240451597,0.014643044434835651,4.0,0.010818758170394264,1.0
1,2.0,0.1632506979074706,0.1097560975609756,10.0,0.13266097750193948,0.02629013224515937,7.0,0.005,2.0
2,2.0,0.1632506979074706,0.10248447204968944,10.0,0.10658016682113068,0.008763377415053123,7.0,0.005,3.0
3,2.0,0.28293496386881606,0.3876500857632933,10.0,0.4287773240451597,0.49734554166941725,2.0,0.26253548952692096,1.0
4,2.0,0.3844269691891195,0.12244897959183673,10.0,0.10658016682113068,1.1301731413691902,4.0,0.16257200992238027,3.0
5,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.15959298048300347,3.0,0.030828331501507183,8.0
6,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.06106174164416188,3.0,0.01179520307076467,8.0
7,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.22692098325469356,3.0,0.04383397863271737,8.0
8,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.19472978192947923,3.0,0.0376156535981075,8.0
9,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.06047628075049501,3.0,0.011682110487015018,8.0
10,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.0459129410205316,3.0,0.00886893246624238,8.0
11,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.4053584862525994,3.0,0.07830247767366653,8.0
12,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.07201168992102507,3.0,0.013910387801207414,8.0
13,4.0,0.22964049889948646,0.8864864864864865,10.0,0.8864864864864865,0.1033532295762295,1.0,0.0920862121047057,5.0
14,18.0,0.3844269691891195,0.2611775121735281,10.0,0.4287773240451597,0.39244264678320023,7.0,0.28994940978232103,1.0
15,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.5170717430254091,3.0,0.09988195631039734,8.0
16,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.1452034494558474,3.0,0.028048727841535222,8.0
17,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.0513376021134137,3.0,0.009916805937547764,8.0
18,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.10348021295561935,3.0,0.019989114177751306,8.0
19,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.04783398457787602,3.0,0.00924001750667093,8.0
20,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.11845520487644227,3.0,0.022881810421472918,8.0
21,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.06586435053752293,3.0,0.01272291567183605,8.0
22,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.04686431497274027,3.0,0.009052707914835567,8.0
23,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.5111622471299592,3.0,0.09874042804317426,8.0
24,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.11241763941050267,3.0,0.021715543151554613,8.0
25,2.0,0.1632506979074706,0.2611775121735281,10.0,0.4287773240451597,0.022781568997031213,4.0,0.016831765198682767,1.0
26,2.0,0.3844269691891195,0.07419354838709677,10.0,0.07343550446998723,1.487948456930895,4.0,0.21403691385826298,13.0
27,2.0,0.3844269691891195,0.12244897959183673,10.0,0.10658016682113068,1.0975434706209986,4.0,0.1578783298458811,3.0
