,create_minus_claim_date,category_history,cal_cust_history,ZZ_CLAIMDATE_SIMP_DT_month,ship_to_history,original_with_avg_dispute,rank_xref_in_kunnr,b_value,rank_kunwe_in_kunnr
0,2.0,0.1632506979074706,0.1098,10.0,0.4287773240451597,0.0146,4.0,0.0108,1.0
1,2.0,0.1632506979074706,0.1098,10.0,0.13266097750193948,0.0263,7.0,0.01,2.0
2,2.0,0.1632506979074706,0.1098,10.0,0.10658016682113068,0.0088,7.0,0.01,3.0
3,2.0,0.28293496386881606,0.1098,10.0,0.4287773240451597,0.4973,2.0,0.2625,1.0
4,2.0,0.3844269691891195,0.1098,10.0,0.10658016682113068,1.1302,4.0,0.1626,3.0
5,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.1596,3.0,0.0308,8.0
6,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.0611,3.0,0.0118,8.0
7,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.2269,3.0,0.0438,8.0
8,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.1947,3.0,0.0376,8.0
9,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.0605,3.0,0.0117,8.0
10,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.0459,3.0,0.01,8.0
11,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.4054,3.0,0.0783,8.0
12,2.0,0.26779624893435633,0.1098,10.0,0.04020833333333333,0.072,3.0,0.0139,8.0
13,4.0,0.22964049889948646,0.1098,10.0,0.8864864864864865,0.1034,1.0,0.0921,5.0
14,18.0,0.3844269691891195,0.1098,10.0,0.4287773240451597,0.3924,7.0,0.2899,1.0
15,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.5171,3.0,0.0999,8.0
16,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.1452,3.0,0.028,8.0
17,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.0513,3.0,0.01,8.0
18,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.1035,3.0,0.02,8.0
19,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.0478,3.0,0.01,8.0
20,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.1185,3.0,0.0229,8.0
21,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.0659,3.0,0.0127,8.0
22,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.0469,3.0,0.01,8.0
23,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.5112,3.0,0.0987,8.0
24,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.1124,3.0,0.0217,8.0
25,2.0,0.1632506979074706,0.1025,10.0,0.4287773240451597,0.0228,4.0,0.0168,1.0
26,2.0,0.3844269691891195,0.1025,10.0,0.07343550446998723,1.4879,4.0,0.214,13.0
27,2.0,0.3844269691891195,0.1025,10.0,0.10658016682113068,1.0975,4.0,0.1579,3.0
28,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.162,3.0,0.0313,8.0
29,2.0,0.20507324044301534,0.1025,10.0,0.4287773240451597,0.0445,1.0,0.0329,1.0
30,2.0,0.3844269691891195,0.1025,10.0,0.13266097750193948,0.7327,4.0,0.1054,2.0
31,2.0,0.28293496386881606,0.1025,10.0,0.4287773240451597,0.6446,2.0,0.3403,1.0
32,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.0633,3.0,0.0122,8.0
33,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.0643,3.0,0.0124,8.0
34,2.0,0.26779624893435633,0.1025,10.0,0.04020833333333333,0.1223,3.0,0.0236,8.0
35,2.0,0.26779624893435633,0.1224,10.0,0.04020833333333333,0.0782,3.0,0.0151,8.0
36,2.0,0.26779624893435633,0.1224,10.0,0.04020833333333333,0.0851,3.0,0.0164,8.0
37,2.0,0.26779624893435633,0.1224,10.0,0.04020833333333333,0.0612,3.0,0.0118,8.0
38,2.0,0.26779624893435633,0.1224,10.0,0.04020833333333333,0.356,3.0,0.0688,8.0
39,2.0,0.26779624893435633,0.0742,10.0,0.04020833333333333,0.0851,3.0,0.0164,8.0
40,2.0,0.26779624893435633,0.0742,10.0,0.04020833333333333,0.1545,3.0,0.0298,8.0
41,2.0,0.3844269691891195,0.0742,10.0,0.10658016682113068,1.1319,4.0,0.1628,3.0
42,2.0,0.26779624893435633,0.0742,10.0,0.04020833333333333,0.0616,3.0,0.0119,8.0
43,2.0,0.26779624893435633,0.1829,10.0,0.04020833333333333,0.1804,3.0,0.0348,8.0
44,2.0,0.26779624893435633,0.1829,10.0,0.04020833333333333,0.0544,3.0,0.0105,8.0
45,2.0,0.26779624893435633,0.1829,10.0,0.04020833333333333,0.0545,3.0,0.0105,8.0
46,2.0,0.26779624893435633,0.1829,10.0,0.04020833333333333,0.0497,3.0,0.01,8.0
47,2.0,0.19031692944736425,0.1829,10.0,0.4287773240451597,1.5349,2.0,0.4137,2.0
48,2.0,0.26779624893435633,0.1067,10.0,0.6301703163017032,0.0652,1.0,0.036,1.0
49,2.0,0.26779624893435633,0.1067,10.0,0.04020833333333333,0.617,3.0,0.1192,8.0
50,2.0,0.26779624893435633,0.1067,10.0,0.04020833333333333,0.0933,3.0,0.018,8.0
51,2.0,0.26779624893435633,0.1067,10.0,0.04020833333333333,0.6568,3.0,0.1269,8.0
52,2.0,0.26779624893435633,0.1067,10.0,0.04020833333333333,0.0891,3.0,0.0172,8.0
53,2.0,0.26779624893435633,0.1067,10.0,0.04020833333333333,0.098,3.0,0.0189,8.0
54,2.0,0.26779624893435633,0.1067,10.0,0.04020833333333333,0.1914,3.0,0.037,8.0
55,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.3046,3.0,0.0588,8.0
56,2.0,0.19031692944736425,0.0085,10.0,0.4287773240451597,0.0145,1.0,0.0107,1.0
57,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.1974,3.0,0.0381,8.0
58,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.0739,3.0,0.0143,8.0
59,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.0849,3.0,0.0164,8.0
60,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.0647,3.0,0.0125,8.0
61,2.0,0.28293496386881606,0.0085,10.0,0.4287773240451597,2.1082,2.0,1.1129,1.0
62,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.1263,3.0,0.0244,8.0
63,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.5537,3.0,0.1069,8.0
64,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.1753,3.0,0.0339,8.0
65,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.0499,3.0,0.01,8.0
66,2.0,0.26779624893435633,0.0085,10.0,0.04020833333333333,0.0887,3.0,0.0171,8.0
67,2.0,0.26779624893435633,0.0085,10.0,0.02998236331569665,0.839,2.0,0.3395,2.0
68,2.0,0.3844269691891195,0.0575,10.0,0.08607594936708861,1.415,4.0,0.2035,11.0
69,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.103,3.0,0.0199,8.0
70,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0818,3.0,0.0158,8.0
71,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0468,3.0,0.01,8.0
72,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.1705,3.0,0.0329,8.0
73,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0502,3.0,0.01,8.0
74,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0895,3.0,0.0173,8.0
75,4.0,0.11814305562209552,0.0575,10.0,0.782258064516129,0.0665,2.0,0.0593,11.0
76,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0675,3.0,0.013,8.0
77,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.1111,3.0,0.0215,8.0
78,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.167,3.0,0.0323,8.0
79,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0985,3.0,0.019,8.0
80,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.8234,3.0,0.1591,8.0
81,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.3368,3.0,0.0651,8.0
82,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.208,3.0,0.0402,8.0
83,2.0,0.1632506979074706,0.0575,10.0,0.009316770186335404,0.3774,3.0,0.7548,1.0
84,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0947,3.0,0.0183,8.0
85,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,0.0466,3.0,0.01,8.0
86,2.0,0.26779624893435633,0.0575,10.0,0.04020833333333333,1.0783,3.0,0.2083,8.0
87,2.0,0.1632506979074706,0.0575,10.0,0.10658016682113068,0.0098,7.0,0.01,3.0
88,2.0,0.3844269691891195,0.0575,10.0,0.07343550446998723,1.4617,4.0,0.2103,13.0
89,2.0,0.1632506979074706,0.0575,10.0,0.07343550446998723,0.021,7.0,0.01,13.0
90,2.0,0.3844269691891195,0.0995,10.0,0.10464058234758873,0.7193,4.0,0.1035,5.0
91,2.0,0.3844269691891195,0.0995,10.0,0.08607594936708861,1.4136,4.0,0.2033,11.0
92,2.0,0.3844269691891195,0.0995,10.0,0.09421265141318977,1.4084,4.0,0.2026,8.0
93,17.0,0.3844269691891195,0.0995,10.0,0.09782608695652174,0.8711,3.0,0.3371,10.0
94,2.0,0.3434174339351907,0.0995,10.0,0.4287773240451597,0.1278,1.0,0.1175,1.0
95,2.0,0.28293496386881606,0.1111,10.0,0.4287773240451597,1.1932,2.0,0.6299,1.0
96,2.0,0.26779624893435633,0.1111,10.0,0.04020833333333333,0.0542,3.0,0.0105,8.0
97,2.0,0.26779624893435633,0.1111,10.0,0.04020833333333333,0.3369,3.0,0.0651,8.0
98,2.0,0.26779624893435633,0.1034,10.0,0.04020833333333333,0.1357,3.0,0.0262,8.0
99,2.0,0.1632506979074706,0.1086,10.0,0.4287773240451597,0.0156,4.0,0.0115,1.0
100,2.0,0.22964049889948646,0.1086,10.0,0.4287773240451597,0.0224,1.0,0.0166,1.0
101,2.0,0.1632506979074706,0.1086,10.0,0.1946564885496183,0.0263,7.0,0.01,1.0
