,kunnr,xref_x,xref_label,xref_y,rank
128,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
129,2002214045,BEAUTY,others,BEAUTY,1
130,2002214045,BEAUTY,others,BEAUTY,1
131,2002213918,UNIDENTIFI,others,others,3
132,2002213918,UNIDENTIFI,others,others,3
133,2002213918,UNIDENTIFI,others,others,3
134,2002253140,MULTI GROH,MULTI GROH,MULTI GROH,1
135,2002213918,UNIDENTIFI,others,others,3
136,2002213918,UNIDENTIFI,others,others,3
137,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
138,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
139,2002213918,UNIDENTIFI,others,others,3
140,2002213918,UNIDENTIFI,others,others,3
141,2002213918,UNIDENTIFI,others,others,3
142,2002213918,UNIDENTIFI,others,others,3
143,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
144,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
145,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
146,2002213963,PHC,PHC,PHC,2
147,2002253256,PHC,others,PHC,1
148,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
149,2002214045,BEAUTY,others,BEAUTY,1
150,2002214045,BEAUTY,others,BEAUTY,1
151,2002214045,BEAUTY,others,BEAUTY,1
152,2002213895,MULTI GROC,MULTI GROC,MULTI GROC,5
153,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
154,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
155,2002214045,BEAUTY,others,BEAUTY,1
156,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
157,2002214045,PHC,PHC,PHC,2
158,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
159,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
160,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
161,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
162,2002214045,BEAUTY,others,BEAUTY,1
163,2002214045,BEAUTY,others,BEAUTY,1
164,2002213918,UNIDENTIFI,others,others,3
165,2002213918,UNIDENTIFI,others,others,3
166,2002253691,MULTI GROH,MULTI GROH,MULTI GROH,3
167,2002253691,MULTI GROH,MULTI GROH,MULTI GROH,3
168,2002213918,UNIDENTIFI,others,others,3
