,xref,history
0,MULTI GROH,0.1632506979074706
1,MULTI GROH,0.1632506979074706
2,MULTI GROH,0.1632506979074706
3,PGP,0.28293496386881606
4,FABRIC,0.3844269691891195
5,UNIDENTIFI,0.26779624893435633
6,UNIDENTIFI,0.26779624893435633
7,UNIDENTIFI,0.26779624893435633
8,UNIDENTIFI,0.26779624893435633
9,UNIDENTIFI,0.26779624893435633
10,UNIDENTIFI,0.26779624893435633
11,UNIDENTIFI,0.26779624893435633
12,UNIDENTIFI,0.26779624893435633
13,FEM CARE,0.22964049889948646
14,FABRIC,0.3844269691891195
15,UNIDENTIFI,0.26779624893435633
16,UNIDENTIFI,0.26779624893435633
17,UNIDENTIFI,0.26779624893435633
18,UNIDENTIFI,0.26779624893435633
19,UNIDENTIFI,0.26779624893435633
20,UNIDENTIFI,0.26779624893435633
21,UNIDENTIFI,0.26779624893435633
22,UNIDENTIFI,0.26779624893435633
23,UNIDENTIFI,0.26779624893435633
24,UNIDENTIFI,0.26779624893435633
25,MULTI GROH,0.1632506979074706
26,FABRIC,0.3844269691891195
27,FABRIC,0.3844269691891195
28,UNIDENTIFI,0.26779624893435633
29,GROOMING,0.20507324044301534
30,FABRIC,0.3844269691891195
31,PGP,0.28293496386881606
32,UNIDENTIFI,0.26779624893435633
33,UNIDENTIFI,0.26779624893435633
34,UNIDENTIFI,0.26779624893435633
35,UNIDENTIFI,0.26779624893435633
36,UNIDENTIFI,0.26779624893435633
37,UNIDENTIFI,0.26779624893435633
38,UNIDENTIFI,0.26779624893435633
39,UNIDENTIFI,0.26779624893435633
40,UNIDENTIFI,0.26779624893435633
41,FABRIC,0.3844269691891195
42,UNIDENTIFI,0.26779624893435633
43,UNIDENTIFI,0.26779624893435633
44,UNIDENTIFI,0.26779624893435633
45,UNIDENTIFI,0.26779624893435633
46,UNIDENTIFI,0.26779624893435633
47,BEAUTY,0.19031692944736425
48,UNIDENTIFI,0.26779624893435633
49,UNIDENTIFI,0.26779624893435633
50,UNIDENTIFI,0.26779624893435633
51,UNIDENTIFI,0.26779624893435633
52,UNIDENTIFI,0.26779624893435633
53,UNIDENTIFI,0.26779624893435633
54,UNIDENTIFI,0.26779624893435633
55,UNIDENTIFI,0.26779624893435633
56,BEAUTY,0.19031692944736425
57,UNIDENTIFI,0.26779624893435633
58,UNIDENTIFI,0.26779624893435633
59,UNIDENTIFI,0.26779624893435633
60,UNIDENTIFI,0.26779624893435633
61,PGP,0.28293496386881606
62,UNIDENTIFI,0.26779624893435633
63,UNIDENTIFI,0.26779624893435633
64,UNIDENTIFI,0.26779624893435633
65,UNIDENTIFI,0.26779624893435633
66,UNIDENTIFI,0.26779624893435633
67,UNIDENTIFI,0.26779624893435633
68,FABRIC,0.3844269691891195
69,UNIDENTIFI,0.26779624893435633
70,UNIDENTIFI,0.26779624893435633
71,UNIDENTIFI,0.26779624893435633
72,UNIDENTIFI,0.26779624893435633
73,UNIDENTIFI,0.26779624893435633
74,UNIDENTIFI,0.26779624893435633
75,PHC,0.11814305562209552
76,UNIDENTIFI,0.26779624893435633
77,UNIDENTIFI,0.26779624893435633
78,UNIDENTIFI,0.26779624893435633
79,UNIDENTIFI,0.26779624893435633
80,UNIDENTIFI,0.26779624893435633
81,UNIDENTIFI,0.26779624893435633
82,UNIDENTIFI,0.26779624893435633
83,MULTI GROH,0.1632506979074706
84,UNIDENTIFI,0.26779624893435633
85,UNIDENTIFI,0.26779624893435633
86,UNIDENTIFI,0.26779624893435633
87,MULTI GROH,0.1632506979074706
88,FABRIC,0.3844269691891195
89,MULTI GROH,0.1632506979074706
90,FABRIC,0.3844269691891195
91,FABRIC,0.3844269691891195
92,FABRIC,0.3844269691891195
93,FABRIC,0.3844269691891195
94,FAMILY,0.3434174339351907
95,PGP,0.28293496386881606
96,UNIDENTIFI,0.26779624893435633
97,UNIDENTIFI,0.26779624893435633
98,UNIDENTIFI,0.26779624893435633
99,MULTI GROH,0.1632506979074706
100,FEM CARE,0.22964049889948646
101,MULTI GROH,0.1632506979074706
102,UNIDENTIFI,0.26779624893435633
103,UNIDENTIFI,0.26779624893435633
104,MULTI GROH,0.1632506979074706
105,UNIDENTIFI,0.26779624893435633
106,MULTI GROC,0.22681636618806006
107,MULTI GROH,0.1632506979074706
108,FABRIC,0.3844269691891195
109,APPLIANCE,0.0027301733495608696
110,PHC,0.11814305562209552
111,PHC,0.11814305562209552
112,UNIDENTIFI,0.26779624893435633
113,MULTI GROH,0.1632506979074706
114,FABRIC,0.3844269691891195
115,UNIDENTIFI,0.26779624893435633
116,UNIDENTIFI,0.26779624893435633
117,MULTI GROH,0.1632506979074706
118,APPLIANCE,0.0027301733495608696
119,UNIDENTIFI,0.26779624893435633
120,MULTI GROH,0.1632506979074706
121,FABRIC,0.3844269691891195
122,UNIDENTIFI,0.26779624893435633
123,BEAUTY,0.19031692944736425
124,UNIDENTIFI,0.26779624893435633
125,FABRIC,0.3844269691891195
126,PGP,0.28293496386881606
127,UNIDENTIFI,0.26779624893435633
128,APPLIANCE,0.0027301733495608696
129,BEAUTY,0.19031692944736425
130,BEAUTY,0.19031692944736425
131,UNIDENTIFI,0.26779624893435633
132,UNIDENTIFI,0.26779624893435633
133,UNIDENTIFI,0.26779624893435633
134,MULTI GROH,0.1632506979074706
135,UNIDENTIFI,0.26779624893435633
136,UNIDENTIFI,0.26779624893435633
137,APPLIANCE,0.0027301733495608696
138,APPLIANCE,0.0027301733495608696
139,UNIDENTIFI,0.26779624893435633
140,UNIDENTIFI,0.26779624893435633
141,UNIDENTIFI,0.26779624893435633
142,UNIDENTIFI,0.26779624893435633
143,APPLIANCE,0.0027301733495608696
144,APPLIANCE,0.0027301733495608696
145,APPLIANCE,0.0027301733495608696
146,PHC,0.11814305562209552
147,PHC,0.11814305562209552
