,FIN_KUNNR_hist_group,dispute_mean
0,2002213849,1011.7013242009134
1,2002213853,2902.9249999999975
2,2002213879,3492.448084610271
3,2002213882,3695.597061855668
4,2002213887,5751.207281501578
5,2002213888,3729.5599228130377
6,2002213894,1646.7117509986692
7,2002213895,3362.7169854798067
8,2002213896,2275.3989162112925
9,2002213897,2078.818153846153
10,2002213902,6832.326068875901
11,2002213906,2103.2876448362726
12,2002213909,1798.7258955223874
13,2002213913,1605.4156542056078
14,2002213915,757.1614302324949
15,2002213917,4116.078691588787
16,2002213918,1093.155848534202
17,2002213922,9555.554000000006
18,2002213923,800.5819922879175
19,2002213931,5630.128400464777
20,2002213946,2126.5625104602505
21,2002213963,11776.70020560188
22,2002213970,13533.170823244545
23,2002213972,108.02927480916028
24,2002213973,9541.176388888889
25,2002213974,5026.115615629248
26,2002213975,2256.830499139416
27,2002213977,962.7031539424286
28,2002213981,941.4570528765196
29,2002213990,1193.5293872513462
30,2002214009,2068.347823129249
31,2002214011,924.7400000000002
32,2002214022,15348.236612804263
33,2002214026,4614.777031700286
34,2002214045,488.18382389235387
35,2002214052,900.2934184068056
36,2002236721,1577.9356363636377
37,2002237010,2126.17921547555
38,2002253090,5346.558666666667
39,2002253140,4846.15810218978
40,2002253223,2065.8471999999992
41,2002253245,2168.2214559386966
42,2002253256,51713.93701612905
43,2002253485,4220.517992831538
44,2002253691,3609.6396866359405
45,2002254212,67793.69683999998
46,2002254220,1268.275339366516
47,2002254357,35332.316999999995
48,2002254378,2206.4617592592595
49,2002294243,2410.680938446016
50,2002801789,20435.778745762695
51,2002819452,3146.343590504451
52,999999999,5079.544785307811
